2026-03-16 12:35:34 | INFO     | Конфигурация загружена
2026-03-16 12:35:38 | INFO     | Настройки сохранены
2026-03-16 12:35:38 | INFO     | Запуск бота Ozon...
2026-03-16 12:35:38 | INFO     | OzonBot: Бот запущен
2026-03-16 12:35:38 | INFO     | Ozon: Успешное подключение к API
2026-03-16 12:35:38 | INFO     | OzonBot: Начало обработки отзывов
2026-03-16 12:35:44 | INFO     | Ozon API: Found 0 unanswered reviews (min_rating=1)
2026-03-16 12:35:44 | INFO     | OzonBot: Нет новых отзывов для обработки
2026-03-16 12:35:44 | DEBUG    | OzonBot: Ожидание 3600 секунд до следующей проверки
2026-03-16 12:49:22 | INFO     | OzonBot: Остановка бота...
2026-03-16 12:49:22 | INFO     | OzonBot: Бот остановлен
2026-03-16 12:49:22 | INFO     | Бот Ozon остановлен
2026-03-16 12:49:35 | INFO     | Настройки сохранены
2026-03-16 12:49:35 | INFO     | Запуск бота Ozon...
2026-03-16 12:49:35 | INFO     | OzonBot: Бот запущен
2026-03-16 12:49:35 | INFO     | Ozon: Успешное подключение к API
2026-03-16 12:49:35 | INFO     | OzonBot: Начало обработки отзывов
2026-03-16 12:49:41 | INFO     | Ozon API: Found 0 unanswered reviews (min_rating=1)
2026-03-16 12:49:41 | INFO     | OzonBot: Нет новых отзывов для обработки
2026-03-16 12:49:41 | DEBUG    | OzonBot: Ожидание 3600 секунд до следующей проверки
2026-03-16 12:54:54 | INFO     | OzonBot: Остановка бота...
2026-03-16 12:54:54 | INFO     | OzonBot: Бот остановлен
2026-03-16 12:54:54 | INFO     | Бот Ozon остановлен
